Run,Original TPR,Adver TPR,After Retraining EmberNet TPR,After Retraining EmberNet TPR,After Retraining EmberGAN
1,0.95423341,0.77726926,0.989321129,0.989321129,0.989321129
2,0.959572845,0.90389016,0.99771167,1,1
3,0.948131198,0.819221968,0.998474447,0.99771167,0.999237223
4,0.944317315,0.79481312,0.996948894,0.996186117,0.996186117
5,0.958810069,0.838291381,0.995423341,0.996948894,0.996948894
6,0.953470633,0.919908467,0.994660564,0.99771167,0.99771167
7,0.966437834,0.861174676,0.992372235,0.991609458,0.991609458
8,0.949656751,0.748283753,0.991609458,0.991609458,0.991609458
9,0.952707857,0.884820748,0.999237223,0.996186117,0.996186117
10,0.951182304,0.824561404,0.98474447,0.989321129,0.990846682
,,,,,
,Average Adver TPR,0.837223494,,,
